Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
174,0,16,157,60,81,1778158564268,1778158564307,807167,308298,416657
175,0,14,118,42,71,1778158566276,1778158566307,842275,299713,506879
176,0,0,80,4,75,1778158568266,1778158568296,673781,4420,668257
177,0,0,115,9,103,1778158570266,1778158570309,358581,28012,321230
178,0,2,87,0,87,1778158572266,1778158572295,443490,0,443490
179,0,0,172,40,126,1778158574270,1778158574312,1222762,284284,895834
180,0,0,145,40,71,1778158576266,1778158576297,677239,43124,597453
181,0,0,88,7,72,1778158578263,1778158578290,270133,21467,221055
182,0,26,71,1,68,1778158580267,1778158580317,361606,5087,346345
183,0,8,121,17,101,1778158582271,1778158582315,857308,120358,715712
184,0,72,96,15,65,1778158584267,1778158584300,621886,15766,589313
185,0,51,157,62,76,1778158586270,1778158586304,655582,189164,408430
186,0,64,114,57,48,1778158588268,1778158588334,578893,289372,243828
187,0,48,130,25,90,1778158590271,1778158590302,915588,176022,633931
188,0,56,147,24,116,1778158592269,1778158592321,1002875,89097,898470
189,0,0,113,85,19,1778158594270,1778158594301,340828,256299,57386
190,0,0,118,51,46,1778158596271,1778158596299,591039,255429,230471
191,0,180,85,51,18,1778158598268,1778158598314,596552,357872,126383
192,0,47,312,187,74,1778158600276,1778158600339,1994939,1041087,669183
193,0,23,131,61,40,1778158602276,1778158602319,545573,183076,272433
194,0,0,152,56,94,1778158604272,1778158604306,757782,279018,468799
195,0,9,124,45,52,1778158606273,1778158606306,865610,314074,363099
196,0,6,139,45,84,1778158608275,1778158608306,1079649,283717,754262
197,0,1,90,8,80,1778158610275,1778158610317,628191,23757,598495
198,0,0,91,3,88,1778158612274,1778158612306,450653,14838,435815
199,0,6,123,8,108,1778158614276,1778158614313,855166,55569,750961
200,0,26,173,54,102,1778158616277,1778158616330,1301784,283327,914266
201,0,11,118,42,48,1778158618282,1778158618333,507253,123305,301719
202,0,6,127,37,79,1778158620277,1778158620316,624346,181757,388553
203,0,3,99,7,86,1778158622286,1778158622345,687048,48547,596889
204,0,0,104,0,100,1778158624277,1778158624310,925609,0,890014
205,0,0,63,0,63,1778158626277,1778158626311,686660,0,686660
206,0,0,0,0,0,1778158628271,1778158628299,0,0,0
207,0,0,0,0,0,1778158630273,1778158630308,0,0,0
208,0,0,0,0,0,1778158632273,1778158632309,0,0,0
