Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
209,7,0,104,25,23,1778168441539,1778168441583,201199,54757,21528
210,7,0,143,0,23,1778168443559,1778168443615,544169,0,34152
211,7,29,120,0,23,1778168445614,1778168445671,657257,0,46315
212,7,0,101,0,40,1778168447564,1778168447615,568913,0,66906
213,7,0,52,52,0,1778168449537,1778168449591,59360,59360,0
214,7,28,128,0,20,1778168451572,1778168451627,366605,0,20580
215,7,0,182,0,75,1778168453573,1778168453652,665081,0,106461
216,7,0,115,0,0,1778168455568,1778168455611,824649,0,0
217,7,0,69,40,0,1778168457538,1778168457571,267689,3048,0
218,7,16,100,0,7,1778168459567,1778168459616,207031,0,7266
219,7,0,139,0,39,1778168461573,1778168461630,471993,0,56662
220,7,0,112,0,0,1778168463567,1778168463609,686030,0,0
221,7,0,176,0,0,1778168465650,1778168465702,1445204,0,0
222,7,161,28,28,0,1778168467525,1778168467584,28784,28784,0
223,7,48,204,0,2,1778168469612,1778168469675,639566,0,2174
224,7,51,93,0,2,1778168471560,1778168471630,466640,0,3081
225,7,44,94,0,0,1778168473554,1778168473595,662740,0,0
226,7,0,92,0,0,1778168475538,1778168475609,833251,0,0
227,7,0,134,126,8,1778168477569,1778168477629,263525,248312,15213
228,7,0,135,0,27,1778168479548,1778168479619,460412,0,26505
229,7,0,126,0,20,1778168481556,1778168481623,670546,0,34580
230,7,0,67,0,0,1778168483547,1778168483624,534981,0,0
232,8,0,19,1,0,1778168487773,1778168487833,220558,1292,0
233,8,0,42,42,0,1778168489537,1778168489609,33679,33679,0
234,8,0,63,8,9,1778168491542,1778168491587,160159,22240,8745
235,8,0,121,0,20,1778168493562,1778168493618,525964,0,37941
236,8,0,111,0,22,1778168495560,1778168495617,651077,0,43714
237,8,0,104,0,7,1778168497558,1778168497596,860846,0,7688
238,8,0,52,52,0,1778168499549,1778168499625,91567,91567,0
239,8,0,84,0,14,1778168501547,1778168501598,277227,0,13545
240,8,0,149,0,43,1778168503570,1778168503622,682879,0,70387
241,8,0,114,0,0,1778168505550,1778168505595,882802,0,0
242,8,0,63,16,0,1778168507561,1778168507628,470157,11040,0
243,8,1,119,0,6,1778168509693,1778168509742,327828,0,6648
244,8,0,93,0,3,1778168511674,1778168511747,439391,0,4327
245,8,0,106,0,0,1778168513640,1778168513716,719706,0,0
246,8,0,73,0,0,1778168515558,1778168515605,632986,0,0
247,8,0,77,77,0,1778168517564,1778168517605,124450,124450,0
248,8,31,157,0,17,1778168519590,1778168519645,533498,0,17539
249,8,0,176,0,74,1778168521598,1778168521664,688763,0,108235
250,8,0,112,0,0,1778168523607,1778168523656,859525,0,0
251,8,0,64,40,0,1778168525562,1778168525617,253974,22811,0
252,8,11,88,6,22,1778168527584,1778168527627,193849,15474,22110
253,8,0,139,0,40,1778168529575,1778168529634,506827,0,51186
254,8,0,98,0,4,1778168531571,1778168531624,623049,0,3932
255,8,0,100,0,3,1778168533566,1778168533622,837159,0,4934
256,8,0,40,40,0,1778168535550,1778168535610,60211,60211,0
257,8,16,141,0,35,1778168537585,1778168537631,412257,0,35494
258,8,0,130,0,44,1778168539610,1778168539658,540307,0,61560
259,8,0,91,0,0,1778168541585,1778168541625,684949,0,0
261,9,0,35,0,0,1778168545848,1778168545899,412864,0,0
262,9,0,74,31,0,1778168547562,1778168547606,101392,41478,0
263,9,9,96,0,7,1778168549570,1778168549625,309472,0,7098
264,9,0,107,0,23,1778168551574,1778168551612,482969,0,31910
265,9,0,103,0,0,1778168553600,1778168553664,762765,0,0
266,9,0,63,38,0,1778168555586,1778168555660,247134,12274,0
267,9,0,82,17,12,1778168557595,1778168557646,175686,39236,11772
268,9,0,156,0,36,1778168559636,1778168559709,580309,0,52392
269,9,0,114,0,12,1778168561618,1778168561682,660666,0,12010
270,9,0,83,0,18,1778168563615,1778168563687,568138,0,24999
271,9,0,56,56,0,1778168565579,1778168565645,71099,71099,0
272,9,22,152,0,48,1778168567634,1778168567686,395976,0,49647
273,9,0,157,0,54,1778168569601,1778168569653,620451,0,75676
274,9,0,66,0,0,1778168571576,1778168571620,478553,0,0
275,9,0,33,33,0,1778168573559,1778168573598,5478,5478,0
276,9,29,73,14,22,1778168575582,1778168575634,136033,30828,22626
277,9,24,117,0,31,1778168577617,1778168577688,429950,0,62415
278,9,3,153,0,24,1778168579595,1778168579665,854493,0,49193
279,9,0,121,0,8,1778168581582,1778168581650,940294,0,11203
280,9,0,64,17,0,1778168583567,1778168583618,73504,19095,0
281,9,7,97,0,5,1778168585573,1778168585633,296304,0,5050
282,9,0,99,0,14,1778168587589,1778168587643,460650,0,21210
283,9,0,109,0,0,1778168589587,1778168589642,780688,0,0
284,9,8,34,0,0,1778168591563,1778168591600,309659,0,0
285,9,52,64,8,2,1778168593612,1778168593672,135556,16888,3012
286,9,41,113,0,2,1778168595624,1778168595689,464574,0,4038
287,9,41,90,0,0,1778168597630,1778168597691,552692,0,0
